"","condition","age","gender","ethnicity","education","religionChild","religionNow","job","maritalStatus","children","country","englishNative","politicalIdeology","studyMoralPhil","vegetarian","beliefGod","beliefAfterlife","beliefTradition","beliefRules","beliefLeader","comments","trialNum","leftCharacter","rightCharacter","response","rt","responseNum"
"21","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",21,"charlie_dog","sharon_harvey_woman","much more right",2383,2
"22","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",22,"samantha_hill_girl","you","much more left",3908,-2
"23","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",23,"samantha_hill_girl","kismet_robot","much more left",1436,-2
"24","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",24,"toby_chimp","nicholas_gannon_baby","much more left",1624,-2
"25","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",25,"delores_gleitman_deceased","charlie_dog","both equally",2501,0
"26","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",26,"fetus","you","much more right",1370,2
"27","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",27,"todd_billingsley_man","samantha_hill_girl","both equally",3904,0
"28","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",28,"you","gerald_schiff_pvs","much more left",2061,-2
"29","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",29,"nicholas_gannon_baby","delores_gleitman_deceased","much more left",1668,-2
"30","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",30,"delores_gleitman_deceased","samantha_hill_girl","much more right",1429,2
"31","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",31,"todd_billingsley_man","delores_gleitman_deceased","much more left",1230,-2
"32","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",32,"delores_gleitman_deceased","gerald_schiff_pvs","both equally",3048,0
"33","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",33,"god","kismet_robot","both equally",2921,0
"34","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",34,"charlie_dog","fetus","both equally",2553,0
"35","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",35,"green_frog","charlie_dog","both equally",1813,0
"36","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",36,"green_frog","toby_chimp","much more right",1360,2
"37","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",37,"fetus","delores_gleitman_deceased","both equally",1462,0
"38","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",38,"nicholas_gannon_baby","you","much more left",5471,-2
"39","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",39,"green_frog","delores_gleitman_deceased","both equally",1302,0
"40","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",40,"charlie_dog","gerald_schiff_pvs","both equally",1779,0
"41","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",41,"sharon_harvey_woman","nicholas_gannon_baby","both equally",4323,0
"42","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",42,"gerald_schiff_pvs","samantha_hill_girl","much more right",4509,2
"43","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",43,"gerald_schiff_pvs","fetus","both equally",1441,0
"44","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",44,"god","you","much more right",1931,2
"45","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",45,"nicholas_gannon_baby","god","much more left",2417,-2
"46","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",46,"you","toby_chimp","much more right",10688,2
"47","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",47,"samantha_hill_girl","sharon_harvey_woman","slightly more left",4728,-1
"48","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",48,"delores_gleitman_deceased","toby_chimp","much more right",3481,2
"49","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",49,"samantha_hill_girl","fetus","much more left",1703,-2
"50","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",50,"todd_billingsley_man","green_frog","much more left",1298,-2
"51","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",51,"todd_billingsley_man","toby_chimp","slightly more right",6733,1
"52","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",52,"nicholas_gannon_baby","green_frog","much more left",1357,-2
"53","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",53,"sharon_harvey_woman","toby_chimp","slightly more right",2629,1
"54","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",54,"charlie_dog","todd_billingsley_man","much more right",2512,2
"55","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",55,"gerald_schiff_pvs","sharon_harvey_woman","much more right",1516,2
"56","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",56,"sharon_harvey_woman","kismet_robot","much more left",1234,-2
"57","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",57,"green_frog","samantha_hill_girl","much more right",2869,2
"58","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",58,"toby_chimp","fetus","much more left",1822,-2
"59","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",59,"god","green_frog","both equally",2254,0
"60","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",60,"nicholas_gannon_baby","todd_billingsley_man","much more left",4447,-2
"61","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",61,"god","sharon_harvey_woman","much more right",1635,2
"62","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",62,"delores_gleitman_deceased","sharon_harvey_woman","much more right",1825,2
"63","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",63,"charlie_dog","god","both equally",1938,0
"64","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",64,"charlie_dog","nicholas_gannon_baby","much more right",2078,2
"65","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",65,"kismet_robot","todd_billingsley_man","much more right",1118,2
"66","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",66,"toby_chimp","god","much more left",2492,-2
"67","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",67,"green_frog","sharon_harvey_woman","much more right",1620,2
"68","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",68,"god","fetus","both equally",1650,0
"69","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",69,"charlie_dog","samantha_hill_girl","much more right",1451,2
"70","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",70,"kismet_robot","you","much more right",1448,2
"71","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",71,"you","green_frog","much more left",1632,-2
"72","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",72,"todd_billingsley_man","god","much more left",1836,-2
"73","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",73,"kismet_robot","green_frog","both equally",1368,0
"74","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",74,"nicholas_gannon_baby","kismet_robot","much more left",1715,-2
"75","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",75,"you","todd_billingsley_man","both equally",2364,0
"76","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",76,"samantha_hill_girl","nicholas_gannon_baby","both equally",2043,0
"77","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",77,"sharon_harvey_woman","todd_billingsley_man","both equally",1699,0
"78","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",78,"green_frog","gerald_schiff_pvs","both equally",1640,0
"79","Consciousness",28,"male","white","college_some","none","none","Self-employed","no","0","USA","yes_only","independent","no","no","disagree_strong","disagree_strong","disagree_strong","disagree_strong","neither","",1,"charlie_dog","fetus","much more left",6748,-2
"80","Consciousness",28,"male","white","college_some","none","none","Self-employed","no","0","USA","yes_only","independent","no","no","disagree_strong","disagree_strong","disagree_strong","disagree_strong","neither","",2,"green_frog","toby_chimp","slightly more right",5451,1
"81","Consciousness",28,"male","white","college_some","none","none","Self-employed","no","0","USA","yes_only","independent","no","no","disagree_strong","disagree_strong","disagree_strong","disagree_strong","neither","",3,"fetus","todd_billingsley_man","much more right",1912,2
"82","Consciousness",28,"male","white","college_some","none","none","Self-employed","no","0","USA","yes_only","independent","no","no","disagree_strong","disagree_strong","disagree_strong","disagree_strong","neither","",4,"kismet_robot","todd_billingsley_man","much more right",6237,2
"83","Consciousness",28,"male","white","college_some","none","none","Self-employed","no","0","USA","yes_only","independent","no","no","disagree_strong","disagree_strong","disagree_strong","disagree_strong","neither","",5,"samantha_hill_girl","toby_chimp","slightly more left",5201,-1
"84","Consciousness",28,"male","white","college_some","none","none","Self-employed","no","0","USA","yes_only","independent","no","no","disagree_strong","disagree_strong","disagree_strong","disagree_strong","neither","",6,"charlie_dog","gerald_schiff_pvs","much more left",7005,-2
"85","Consciousness",28,"male","white","college_some","none","none","Self-employed","no","0","USA","yes_only","independent","no","no","disagree_strong","disagree_strong","disagree_strong","disagree_strong","neither","",7,"fetus","delores_gleitman_deceased","both equally",4770,0
